customer_reference,account_num,bank_code,amount,currency,transaction_date,recurring_type,frequency_value,start_date,user,csv
CUST0062,ACC100062,BANK123,2280.02,MYR,2025-01-03,WEEKLY,1,2025-01-08,bank_admin,batch_upload
CUST0063,ACC100063,BANK279,3154.55,MYR,2025-01-04,WEEKLY,3,2025-01-09,bank_admin,batch_upload
CUST0064,ACC100064,BANK367,2629.69,MYR,2025-01-05,MONTHLY,6,2025-01-10,bank_admin,batch_upload
CUST0065,ACC100065,BANK546,1134.38,MYR,2025-01-06,MONTHLY,12,2025-01-11,bank_admin,batch_upload
CUST0066,ACC100066,BANK748,602.19,MYR,2025-01-07,MONTHLY,6,2025-01-12,bank_admin,batch_upload
CUST0067,ACC100067,BANK226,2390.01,MYR,2025-01-08,MONTHLY,12,2025-01-13,bank_admin,batch_upload
CUST0068,ACC100068,BANK954,3422.6,MYR,2025-01-09,WEEKLY,3,2025-01-14,bank_admin,batch_upload
CUST0069,ACC100069,BANK111,4099.91,MYR,2025-01-10,MONTHLY,6,2025-01-15,bank_admin,batch_upload
CUST0070,ACC100070,BANK936,1165.07,MYR,2025-01-11,YEARLY,2,2025-01-16,bank_admin,batch_upload
CUST0071,ACC100071,BANK697,4816.03,MYR,2025-01-12,YEARLY,2,2025-01-17,bank_admin,batch_upload
CUST0072,ACC100072,BANK647,3770.22,MYR,2025-01-13,YEARLY,3,2025-01-18,bank_admin,batch_upload
CUST0073,ACC100073,BANK229,4324.94,MYR,2025-01-14,YEARLY,12,2025-01-19,bank_admin,batch_upload
CUST0074,ACC100074,BANK859,3556.2,MYR,2025-01-15,YEARLY,3,2025-01-20,bank_admin,batch_upload
CUST0075,ACC100075,BANK359,1491.41,MYR,2025-01-16,YEARLY,3,2025-01-21,bank_admin,batch_upload
CUST0076,ACC100076,BANK453,1769.93,MYR,2025-01-17,MONTHLY,1,2025-01-22,bank_admin,batch_upload
CUST0077,ACC100077,BANK186,342.63,MYR,2025-01-18,WEEKLY,6,2025-01-23,bank_admin,batch_upload
CUST0078,ACC100078,BANK234,491.72,MYR,2025-01-19,YEARLY,12,2025-01-24,bank_admin,batch_upload
CUST0079,ACC100079,BANK591,3810.96,MYR,2025-01-20,MONTHLY,12,2025-01-25,bank_admin,batch_upload
CUST0080,ACC100080,BANK801,1348.74,MYR,2025-01-21,MONTHLY,1,2025-01-26,bank_admin,batch_upload
CUST0081,ACC100081,BANK902,3304.12,MYR,2025-01-22,WEEKLY,2,2025-01-27,bank_admin,batch_upload
CUST0082,ACC100082,BANK907,2884.43,MYR,2025-01-23,MONTHLY,12,2025-01-28,bank_admin,batch_upload
CUST0083,ACC100083,BANK721,318.2,MYR,2025-01-24,WEEKLY,12,2025-01-29,bank_admin,batch_upload
CUST0084,ACC100084,BANK982,3719.9,MYR,2025-01-25,MONTHLY,6,2025-01-30,bank_admin,batch_upload
CUST0085,ACC100085,BANK670,3766.88,MYR,2025-01-26,WEEKLY,1,2025-01-31,bank_admin,batch_upload
CUST0086,ACC100086,BANK810,2656.95,MYR,2025-01-27,MONTHLY,3,2025-02-01,bank_admin,batch_upload
CUST0087,ACC100087,BANK816,1163.61,MYR,2025-01-28,MONTHLY,12,2025-02-02,bank_admin,batch_upload
CUST0088,ACC100088,BANK358,2438.83,MYR,2025-01-29,MONTHLY,3,2025-02-03,bank_admin,batch_upload
CUST0089,ACC100089,BANK612,685.79,MYR,2025-01-30,MONTHLY,1,2025-02-04,bank_admin,batch_upload
CUST0090,ACC100090,BANK698,1774.8,MYR,2025-01-01,WEEKLY,12,2025-01-06,bank_admin,batch_upload
CUST0091,ACC100091,BANK362,3909.63,MYR,2025-01-02,YEARLY,2,2025-01-07,bank_admin,batch_upload
CUST0092,ACC100092,BANK466,1979.52,MYR,2025-01-03,WEEKLY,3,2025-01-08,bank_admin,batch_upload
CUST0093,ACC100093,BANK869,3706.28,MYR,2025-01-04,MONTHLY,1,2025-01-09,bank_admin,batch_upload
CUST0094,ACC100094,BANK183,1610.52,MYR,2025-01-05,MONTHLY,2,2025-01-10,bank_admin,batch_upload
CUST0095,ACC100095,BANK114,1399.81,MYR,2025-01-06,YEARLY,6,2025-01-11,bank_admin,batch_upload
CUST0096,ACC100096,BANK533,4490.29,MYR,2025-01-07,MONTHLY,6,2025-01-12,bank_admin,batch_upload
CUST0097,ACC100097,BANK118,1697.99,MYR,2025-01-08,WEEKLY,6,2025-01-13,bank_admin,batch_upload
CUST0098,ACC100098,BANK773,4562.48,MYR,2025-01-09,MONTHLY,3,2025-01-14,bank_admin,batch_upload
CUST0099,ACC100099,BANK224,3148.22,MYR,2025-01-10,WEEKLY,2,2025-01-15,bank_admin,batch_upload
CUST0100,ACC100100,BANK529,1167.29,MYR,2025-01-11,WEEKLY,3,2025-01-16,bank_admin,batch_upload
CUST0101,ACC100101,BANK826,3876.34,MYR,2025-01-12,YEARLY,6,2025-01-17,bank_admin,batch_upload
CUST0102,ACC100102,BANK493,3119.3,MYR,2025-01-13,WEEKLY,3,2025-01-18,bank_admin,batch_upload
CUST0103,ACC100103,BANK286,645.35,MYR,2025-01-14,YEARLY,2,2025-01-19,bank_admin,batch_upload
CUST0104,ACC100104,BANK560,2867.31,MYR,2025-01-15,YEARLY,6,2025-01-20,bank_admin,batch_upload
CUST0105,ACC100105,BANK277,4914.07,MYR,2025-01-16,WEEKLY,1,2025-01-21,bank_admin,batch_upload
CUST0106,ACC100106,BANK426,3550.95,MYR,2025-01-17,MONTHLY,3,2025-01-22,bank_admin,batch_upload
CUST0107,ACC100107,BANK436,610.59,MYR,2025-01-18,MONTHLY,2,2025-01-23,bank_admin,batch_upload
CUST0108,ACC100108,BANK671,3411.0,MYR,2025-01-19,WEEKLY,12,2025-01-24,bank_admin,batch_upload
CUST0109,ACC100109,BANK631,2698.45,MYR,2025-01-20,WEEKLY,6,2025-01-25,bank_admin,batch_upload
CUST0110,ACC100110,BANK371,4216.66,MYR,2025-01-21,WEEKLY,12,2025-01-26,bank_admin,batch_upload
CUST0111,ACC100111,BANK417,4335.78,MYR,2025-01-22,WEEKLY,1,2025-01-27,bank_admin,batch_upload
CUST0112,ACC100112,BANK313,2345.66,MYR,2025-01-23,YEARLY,2,2025-01-28,bank_admin,batch_upload
CUST0113,ACC100113,BANK913,1063.36,MYR,2025-01-24,WEEKLY,3,2025-01-29,bank_admin,batch_upload
CUST0114,ACC100114,BANK988,986.74,MYR,2025-01-25,YEARLY,3,2025-01-30,bank_admin,batch_upload
CUST0115,ACC100115,BANK741,4375.71,MYR,2025-01-26,WEEKLY,3,2025-01-31,bank_admin,batch_upload
CUST0116,ACC100116,BANK960,3710.31,MYR,2025-01-27,YEARLY,6,2025-02-01,bank_admin,batch_upload
CUST0117,ACC100117,BANK825,949.86,MYR,2025-01-28,WEEKLY,2,2025-02-02,bank_admin,batch_upload
CUST0118,ACC100118,BANK189,3210.28,MYR,2025-01-29,MONTHLY,12,2025-02-03,bank_admin,batch_upload
CUST0119,ACC100119,BANK110,3409.35,MYR,2025-01-30,WEEKLY,6,2025-02-04,bank_admin,batch_upload
CUST0120,ACC100120,BANK651,2394.89,MYR,2025-01-01,MONTHLY,3,2025-01-06,bank_admin,batch_upload
CUST0121,ACC100121,BANK111,4019.33,MYR,2025-01-02,MONTHLY,3,2025-01-07,bank_admin,batch_upload
CUST0122,ACC100122,BANK835,1791.73,MYR,2025-01-03,YEARLY,12,2025-01-08,bank_admin,batch_upload
CUST0123,ACC100123,BANK265,4266.17,MYR,2025-01-04,MONTHLY,6,2025-01-09,bank_admin,batch_upload
CUST0124,ACC100124,BANK218,4520.52,MYR,2025-01-05,YEARLY,6,2025-01-10,bank_admin,batch_upload
CUST0125,ACC100125,BANK160,138.98,MYR,2025-01-06,MONTHLY,2,2025-01-11,bank_admin,batch_upload
CUST0126,ACC100126,BANK951,3373.92,MYR,2025-01-07,YEARLY,6,2025-01-12,bank_admin,batch_upload
CUST0127,ACC100127,BANK347,1453.11,MYR,2025-01-08,YEARLY,12,2025-01-13,bank_admin,batch_upload
CUST0128,ACC100128,BANK879,2863.35,MYR,2025-01-09,MONTHLY,2,2025-01-14,bank_admin,batch_upload
CUST0129,ACC100129,BANK268,1472.77,MYR,2025-01-10,WEEKLY,2,2025-01-15,bank_admin,batch_upload
CUST0130,ACC100130,BANK694,1196.89,MYR,2025-01-11,WEEKLY,6,2025-01-16,bank_admin,batch_upload
CUST0131,ACC100131,BANK447,2932.42,MYR,2025-01-12,YEARLY,12,2025-01-17,bank_admin,batch_upload
CUST0132,ACC100132,BANK790,3887.28,MYR,2025-01-13,MONTHLY,12,2025-01-18,bank_admin,batch_upload
CUST0133,ACC100133,BANK890,2788.5,MYR,2025-01-14,WEEKLY,3,2025-01-19,bank_admin,batch_upload
CUST0134,ACC100134,BANK967,2620.0,MYR,2025-01-15,YEARLY,1,2025-01-20,bank_admin,batch_upload
CUST0135,ACC100135,BANK248,2026.95,MYR,2025-01-16,YEARLY,1,2025-01-21,bank_admin,batch_upload
CUST0136,ACC100136,BANK320,4470.46,MYR,2025-01-17,YEARLY,6,2025-01-22,bank_admin,batch_upload
CUST0137,ACC100137,BANK374,1932.27,MYR,2025-01-18,WEEKLY,3,2025-01-23,bank_admin,batch_upload
CUST0138,ACC100138,BANK545,2972.42,MYR,2025-01-19,YEARLY,12,2025-01-24,bank_admin,batch_upload
CUST0139,ACC100139,BANK197,2294.35,MYR,2025-01-20,YEARLY,2,2025-01-25,bank_admin,batch_upload
CUST0140,ACC100140,BANK951,1284.1,MYR,2025-01-21,WEEKLY,12,2025-01-26,bank_admin,batch_upload
CUST0141,ACC100141,BANK569,3907.98,MYR,2025-01-22,YEARLY,12,2025-01-27,bank_admin,batch_upload
CUST0142,ACC100142,BANK672,2716.29,MYR,2025-01-23,MONTHLY,12,2025-01-28,bank_admin,batch_upload
CUST0143,ACC100143,BANK898,2539.52,MYR,2025-01-24,MONTHLY,2,2025-01-29,bank_admin,batch_upload
CUST0144,ACC100144,BANK440,4616.94,MYR,2025-01-25,MONTHLY,3,2025-01-30,bank_admin,batch_upload
CUST0145,ACC100145,BANK817,3547.84,MYR,2025-01-26,YEARLY,12,2025-01-31,bank_admin,batch_upload
CUST0146,ACC100146,BANK166,4246.94,MYR,2025-01-27,MONTHLY,1,2025-02-01,bank_admin,batch_upload
CUST0147,ACC100147,BANK948,3221.29,MYR,2025-01-28,MONTHLY,1,2025-02-02,bank_admin,batch_upload
CUST0148,ACC100148,BANK734,3121.75,MYR,2025-01-29,MONTHLY,1,2025-02-03,bank_admin,batch_upload
CUST0149,ACC100149,BANK351,632.52,MYR,2025-01-30,MONTHLY,1,2025-02-04,bank_admin,batch_upload
CUST0150,ACC100150,BANK539,4842.73,MYR,2025-01-01,MONTHLY,2,2025-01-06,bank_admin,batch_upload
CUST0151,ACC100151,BANK656,1975.26,MYR,2025-01-02,MONTHLY,3,2025-01-07,bank_admin,batch_upload
CUST0152,ACC100152,BANK957,4309.97,MYR,2025-01-03,YEARLY,1,2025-01-08,bank_admin,batch_upload
CUST0153,ACC100153,BANK296,3915.08,MYR,2025-01-04,MONTHLY,1,2025-01-09,bank_admin,batch_upload
CUST0154,ACC100154,BANK107,1340.92,MYR,2025-01-05,MONTHLY,1,2025-01-10,bank_admin,batch_upload
CUST0155,ACC100155,BANK701,1616.95,MYR,2025-01-06,WEEKLY,3,2025-01-11,bank_admin,batch_upload
CUST0156,ACC100156,BANK540,4447.45,MYR,2025-01-07,MONTHLY,6,2025-01-12,bank_admin,batch_upload
CUST0157,ACC100157,BANK788,2689.38,MYR,2025-01-08,WEEKLY,2,2025-01-13,bank_admin,batch_upload
CUST0158,ACC100158,BANK274,1994.35,MYR,2025-01-09,YEARLY,12,2025-01-14,bank_admin,batch_upload
CUST0159,ACC100159,BANK639,1082.79,MYR,2025-01-10,MONTHLY,2,2025-01-15,bank_admin,batch_upload
CUST0160,ACC100160,BANK572,3200.09,MYR,2025-01-11,WEEKLY,1,2025-01-16,bank_admin,batch_upload
CUST0161,ACC100161,BANK377,2645.85,MYR,2025-01-12,WEEKLY,6,2025-01-17,bank_admin,batch_upload
CUST0162,ACC100162,BANK783,4834.54,MYR,2025-01-13,WEEKLY,12,2025-01-18,bank_admin,batch_upload
CUST0163,ACC100163,BANK174,3144.28,MYR,2025-01-14,YEARLY,6,2025-01-19,bank_admin,batch_upload
CUST0164,ACC100164,BANK374,894.27,MYR,2025-01-15,YEARLY,2,2025-01-20,bank_admin,batch_upload
CUST0165,ACC100165,BANK666,4345.71,MYR,2025-01-16,YEARLY,12,2025-01-21,bank_admin,batch_upload
CUST0166,ACC100166,BANK287,2698.05,MYR,2025-01-17,MONTHLY,3,2025-01-22,bank_admin,batch_upload
CUST0167,ACC100167,BANK897,3547.07,MYR,2025-01-18,MONTHLY,1,2025-01-23,bank_admin,batch_upload
CUST0168,ACC100168,BANK797,521.1,MYR,2025-01-19,YEARLY,6,2025-01-24,bank_admin,batch_upload
CUST0169,ACC100169,BANK288,816.05,MYR,2025-01-20,MONTHLY,3,2025-01-25,bank_admin,batch_upload
CUST0170,ACC100170,BANK883,4328.14,MYR,2025-01-21,MONTHLY,12,2025-01-26,bank_admin,batch_upload
CUST0171,ACC100171,BANK450,3086.78,MYR,2025-01-22,WEEKLY,1,2025-01-27,bank_admin,batch_upload
CUST0172,ACC100172,BANK882,1159.11,MYR,2025-01-23,WEEKLY,2,2025-01-28,bank_admin,batch_upload
CUST0173,ACC100173,BANK195,4509.56,MYR,2025-01-24,MONTHLY,6,2025-01-29,bank_admin,batch_upload
CUST0174,ACC100174,BANK608,4662.4,MYR,2025-01-25,WEEKLY,2,2025-01-30,bank_admin,batch_upload
CUST0175,ACC100175,BANK220,326.19,MYR,2025-01-26,YEARLY,1,2025-01-31,bank_admin,batch_upload
CUST0176,ACC100176,BANK386,4928.71,MYR,2025-01-27,WEEKLY,6,2025-02-01,bank_admin,batch_upload
CUST0177,ACC100177,BANK185,1898.24,MYR,2025-01-28,MONTHLY,12,2025-02-02,bank_admin,batch_upload
CUST0178,ACC100178,BANK214,1441.86,MYR,2025-01-29,MONTHLY,2,2025-02-03,bank_admin,batch_upload
CUST0179,ACC100179,BANK922,3226.97,MYR,2025-01-30,WEEKLY,12,2025-02-04,bank_admin,batch_upload
CUST0180,ACC100180,BANK113,974.22,MYR,2025-01-01,MONTHLY,3,2025-01-06,bank_admin,batch_upload
CUST0181,ACC100181,BANK158,778.75,MYR,2025-01-02,YEARLY,6,2025-01-07,bank_admin,batch_upload
CUST0182,ACC100182,BANK493,1220.06,MYR,2025-01-03,YEARLY,6,2025-01-08,bank_admin,batch_upload
CUST0183,ACC100183,BANK196,2865.32,MYR,2025-01-04,YEARLY,2,2025-01-09,bank_admin,batch_upload
CUST0184,ACC100184,BANK524,3050.73,MYR,2025-01-05,WEEKLY,6,2025-01-10,bank_admin,batch_upload
CUST0185,ACC100185,BANK588,3853.31,MYR,2025-01-06,YEARLY,2,2025-01-11,bank_admin,batch_upload
CUST0186,ACC100186,BANK544,4914.48,MYR,2025-01-07,WEEKLY,1,2025-01-12,bank_admin,batch_upload
CUST0187,ACC100187,BANK389,4988.05,MYR,2025-01-08,WEEKLY,1,2025-01-13,bank_admin,batch_upload
CUST0188,ACC100188,BANK868,3750.55,MYR,2025-01-09,YEARLY,12,2025-01-14,bank_admin,batch_upload
CUST0189,ACC100189,BANK134,617.57,MYR,2025-01-10,YEARLY,12,2025-01-15,bank_admin,batch_upload
CUST0190,ACC100190,BANK643,1075.29,MYR,2025-01-11,WEEKLY,1,2025-01-16,bank_admin,batch_upload
CUST0191,ACC100191,BANK251,2765.12,MYR,2025-01-12,MONTHLY,1,2025-01-17,bank_admin,batch_upload
CUST0192,ACC100192,BANK617,4796.44,MYR,2025-01-13,YEARLY,3,2025-01-18,bank_admin,batch_upload
CUST0193,ACC100193,BANK216,600.33,MYR,2025-01-14,YEARLY,2,2025-01-19,bank_admin,batch_upload
CUST0194,ACC100194,BANK585,2854.87,MYR,2025-01-15,WEEKLY,6,2025-01-20,bank_admin,batch_upload
CUST0195,ACC100195,BANK956,1288.38,MYR,2025-01-16,MONTHLY,3,2025-01-21,bank_admin,batch_upload
CUST0196,ACC100196,BANK802,1024.63,MYR,2025-01-17,WEEKLY,2,2025-01-22,bank_admin,batch_upload
CUST0197,ACC100197,BANK302,1893.61,MYR,2025-01-18,MONTHLY,6,2025-01-23,bank_admin,batch_upload
CUST0198,ACC100198,BANK463,4242.46,MYR,2025-01-19,YEARLY,3,2025-01-24,bank_admin,batch_upload
CUST0199,ACC100199,BANK308,2833.42,MYR,2025-01-20,WEEKLY,12,2025-01-25,bank_admin,batch_upload
CUST0200,ACC100200,BANK310,1189.41,MYR,2025-01-21,YEARLY,12,2025-01-26,bank_admin,batch_upload
