Customer Reference,Account Num,Bank Code,Amount,Currency,Transaction Date,Recurring Type,Frequency Value,Start Date,username,phone_num,item_name
CUST0019,ACC100019,DBS,415.2,SGD,2026-01-20,WEEKLY,4,2026-01-10,user19,80000019,ServiceFee
,ACC100020,UOB,,SGD,2026/01/01,MONTHLY,,2026-01-01,user20,80000020,ServiceFee
CUST0021,ACC100021,UOB,76.95,SGD,2026-01-22,WEEKLY,1,2026-01-02,user21,80000021,ProductA
CUST0022,ACC100022,OCBC,357.87,SGD,2026-01-23,WEEKLY,1,2026-01-03,user22,80000022,Subscription
CUST0023,ACC100023,OCBC,312.9,SGD,2026-01-24,MONTHLY,4,2026-01-04,user23,80000023,ProductA
CUST0024,ACC100024,DBS,170.29,SGD,2026-01-25,WEEKLY,1,2026-01-05,user24,80000024,ProductA
CUST0025,ACC100025,UOB,181.02,SGD,2026-01-26,MONTHLY,4,2026-01-06,user25,80000025,ServiceFee
CUST0026,ACC100026,UOB,24.36,SGD,2026-01-27,WEEKLY,4,2026-01-07,user26,80000026,Subscription
CUST0027,ACC100027,OCBC,148.68,SGD,2026-01-28,WEEKLY,1,2026-01-08,user27,80000027,ProductA
CUST0028,ACC100028,OCBC,221.85,SGD,2026-01-29,WEEKLY,1,2026-01-09,user28,80000028,ProductA
CUST0029,ACC100029,UOB,68.45,SGD,2026-01-30,WEEKLY,4,2026-01-10,user29,80000029,ServiceFee
CUST0030,ACC100030,DBS,435.35,SGD,2026-01-01,MONTHLY,4,2026-01-01,user30,80000030,ProductA
CUST0031,ACC100031,UOB,243.09,SGD,2026-01-02,WEEKLY,4,2026-01-02,user31,80000031,Subscription
CUST0032,ACC100032,DBS,16.76,SGD,2026-01-03,MONTHLY,2,2026-01-03,user32,80000032,ProductA
CUST0033,ACC100033,UOB,35.78,SGD,2026-01-04,WEEKLY,2,2026-01-04,user33,80000033,ProductA
CUST0034,ACC100034,OCBC,195.61,SGD,2026-01-05,MONTHLY,1,2026-01-05,user34,80000034,ServiceFee
CUST0035,ACC100035,UOB,171.67,SGD,2026-01-06,MONTHLY,2,2026-01-06,user35,80000035,ProductA
CUST0036,ACC100036,UOB,266.5,SGD,2026-01-07,WEEKLY,1,2026-01-07,user36,80000036,ServiceFee
CUST0037,ACC100037,OCBC,201.82,SGD,2026-01-08,WEEKLY,1,2026-01-08,user37,80000037,Subscription
CUST0038,ACC100038,DBS,291.47,SGD,2026-01-09,WEEKLY,1,2026-01-09,user38,80000038,Subscription
CUST0039,ACC100039,UOB,435.79,SGD,2026-01-10,WEEKLY,2,2026-01-10,user39,80000039,Subscription
CUST0040,ACC100040,DBS,58.67,SGD,2026-01-11,MONTHLY,4,2026-01-01,user40,80000040,ServiceFee
CUST0041,ACC100041,DBS,466.02,SGD,2026-01-12,WEEKLY,4,2026-01-02,user41,80000041,ServiceFee
CUST0042,ACC100042,DBS,365.9,SGD,2026-01-13,MONTHLY,2,2026-01-03,user42,80000042,Subscription
CUST0043,ACC100043,OCBC,342.98,SGD,2026-01-14,WEEKLY,2,2026-01-04,user43,80000043,ServiceFee
CUST0044,ACC100044,OCBC,294.04,SGD,2026-01-15,WEEKLY,1,2026-01-05,user44,80000044,ServiceFee
CUST0045,ACC100045,DBS,173.53,SGD,2026-01-16,MONTHLY,4,2026-01-06,user45,80000045,ServiceFee
CUST0046,ACC100046,DBS,475.83,SGD,2026-01-17,MONTHLY,2,2026-01-07,user46,80000046,ProductA
CUST0047,ACC100047,DBS,207.52,SGD,2026-01-18,MONTHLY,1,2026-01-08,user47,80000047,Subscription
CUST0048,ACC100048,OCBC,229.73,SGD,2026-01-19,WEEKLY,1,2026-01-09,user48,80000048,ProductA
CUST0049,ACC100049,UOB,228.88,SGD,2026-01-20,MONTHLY,2,2026-01-10,user49,80000049,Subscription
CUST0050,ACC100050,UOB,27.98,SGD,2026-01-21,MONTHLY,4,2026-01-01,user50,80000050,Subscription
CUST0051,ACC100051,OCBC,15.04,SGD,2026-01-22,MONTHLY,2,2026-01-02,user51,80000051,ProductA
CUST0052,ACC100052,UOB,482.88,SGD,2026-01-23,WEEKLY,1,2026-01-03,user52,80000052,ProductA
CUST0053,ACC100053,UOB,277.95,SGD,2026-01-24,MONTHLY,1,2026-01-04,user53,80000053,ServiceFee
CUST0054,ACC100054,UOB,132.96,SGD,2026-01-25,MONTHLY,4,2026-01-05,user54,80000054,ProductA
CUST0055,ACC100055,DBS,467.14,SGD,2026-01-26,WEEKLY,4,2026-01-06,user55,80000055,ProductA
CUST0056,ACC100056,UOB,276.67,SGD,2026-01-27,MONTHLY,4,2026-01-07,user56,80000056,ServiceFee
,ACC100057,UOB,,SGD,2026/01/01,MONTHLY,,2026-01-08,user57,80000057,ServiceFee
CUST0058,ACC100058,OCBC,134.35,SGD,2026-01-29,WEEKLY,2,2026-01-09,user58,80000058,ServiceFee
CUST0059,ACC100059,OCBC,207.77,SGD,2026-01-30,WEEKLY,4,2026-01-10,user59,80000059,Subscription
CUST0060,ACC100060,UOB,307.89,SGD,2026-01-01,WEEKLY,1,2026-01-01,user60,80000060,ServiceFee
CUST0061,ACC100061,DBS,257.97,SGD,2026-01-02,MONTHLY,4,2026-01-02,user61,80000061,ProductA
CUST0062,ACC100062,OCBC,221.28,SGD,2026-01-03,MONTHLY,1,2026-01-03,user62,80000062,ServiceFee
CUST0063,ACC100063,UOB,50.68,SGD,2026-01-04,MONTHLY,4,2026-01-04,user63,80000063,Subscription
CUST0064,ACC100064,DBS,196.36,SGD,2026-01-05,MONTHLY,1,2026-01-05,user64,80000064,Subscription
CUST0065,ACC100065,UOB,186.74,SGD,2026-01-06,MONTHLY,4,2026-01-06,user65,80000065,Subscription
CUST0066,ACC100066,UOB,305.05,SGD,2026-01-07,WEEKLY,1,2026-01-07,user66,80000066,ProductA
CUST0067,ACC100067,DBS,294.27,SGD,2026-01-08,WEEKLY,1,2026-01-08,user67,80000067,ProductA
CUST0068,ACC100068,OCBC,265.53,SGD,2026-01-09,WEEKLY,1,2026-01-09,user68,80000068,ServiceFee
CUST0069,ACC100069,UOB,82.5,SGD,2026-01-10,WEEKLY,2,2026-01-10,user69,80000069,Subscription
CUST0070,ACC100070,OCBC,134.65,SGD,2026-01-11,MONTHLY,2,2026-01-01,user70,80000070,Subscription
CUST0071,ACC100071,DBS,341.82,SGD,2026-01-12,MONTHLY,1,2026-01-02,user71,80000071,ProductA
CUST0072,ACC100072,UOB,298.16,SGD,2026-01-13,MONTHLY,2,2026-01-03,user72,80000072,ServiceFee
CUST0073,ACC100073,DBS,13.2,SGD,2026-01-14,WEEKLY,1,2026-01-04,user73,80000073,ServiceFee
CUST0074,ACC100074,DBS,171.73,SGD,2026-01-15,WEEKLY,4,2026-01-05,user74,80000074,ServiceFee
CUST0075,ACC100075,DBS,476.11,SGD,2026-01-16,MONTHLY,4,2026-01-06,user75,80000075,ServiceFee
CUST0076,ACC100076,UOB,191.42,SGD,2026-01-17,MONTHLY,2,2026-01-07,user76,80000076,Subscription
CUST0077,ACC100077,OCBC,321.06,SGD,2026-01-18,WEEKLY,4,2026-01-08,user77,80000077,ServiceFee
CUST0078,ACC100078,DBS,206.47,SGD,2026-01-19,WEEKLY,4,2026-01-09,user78,80000078,ServiceFee
CUST0079,ACC100079,DBS,207.23,SGD,2026-01-20,MONTHLY,4,2026-01-10,user79,80000079,ProductA
CUST0080,ACC100080,DBS,247.53,SGD,2026-01-21,MONTHLY,4,2026-01-01,user80,80000080,ProductA
CUST0081,ACC100081,OCBC,129.66,SGD,2026-01-22,MONTHLY,4,2026-01-02,user81,80000081,ServiceFee
CUST0082,ACC100082,UOB,120.91,SGD,2026-01-23,WEEKLY,4,2026-01-03,user82,80000082,Subscription
CUST0083,ACC100083,UOB,348.57,SGD,2026-01-24,MONTHLY,4,2026-01-04,user83,80000083,ProductA
CUST0084,ACC100084,OCBC,479.32,SGD,2026-01-25,MONTHLY,1,2026-01-05,user84,80000084,ServiceFee
CUST0085,ACC100085,OCBC,202.89,SGD,2026-01-26,MONTHLY,1,2026-01-06,user85,80000085,Subscription
CUST0086,ACC100086,OCBC,25.78,SGD,2026-01-27,WEEKLY,4,2026-01-07,user86,80000086,ServiceFee
CUST0087,ACC100087,DBS,333.09,SGD,2026-01-28,MONTHLY,4,2026-01-08,user87,80000087,ServiceFee
CUST0088,ACC100088,OCBC,469.87,SGD,2026-01-29,MONTHLY,1,2026-01-09,user88,80000088,ServiceFee
CUST0089,ACC100089,UOB,159.41,SGD,2026-01-30,MONTHLY,4,2026-01-10,user89,80000089,Subscription
CUST0090,ACC100090,DBS,304.01,SGD,2026-01-01,WEEKLY,1,2026-01-01,user90,80000090,Subscription
CUST0091,ACC100091,DBS,185.1,SGD,2026-01-02,WEEKLY,4,2026-01-02,user91,80000091,ServiceFee
CUST0092,ACC100092,DBS,330.75,SGD,2026-01-03,WEEKLY,1,2026-01-03,user92,80000092,Subscription
CUST0093,ACC100093,OCBC,371.55,SGD,2026-01-04,MONTHLY,1,2026-01-04,user93,80000093,ProductA
CUST0094,ACC100094,DBS,318.98,SGD,2026-01-05,MONTHLY,1,2026-01-05,user94,80000094,Subscription
CUST0095,ACC100095,UOB,314.83,SGD,2026-01-06,MONTHLY,1,2026-01-06,user95,80000095,ProductA
CUST0096,ACC100096,UOB,132.68,SGD,2026-01-07,WEEKLY,2,2026-01-07,user96,80000096,Subscription
CUST0097,ACC100097,DBS,132.89,SGD,2026-01-08,WEEKLY,4,2026-01-08,user97,80000097,Subscription
CUST0098,ACC100098,UOB,480.29,SGD,2026-01-09,MONTHLY,4,2026-01-09,user98,80000098,ServiceFee
CUST0099,ACC100099,UOB,34.49,SGD,2026-01-10,WEEKLY,1,2026-01-10,user99,80000099,ServiceFee
CUST0100,ACC100100,OCBC,446.33,SGD,2026-01-11,WEEKLY,1,2026-01-01,user100,80000100,ServiceFee
CUST0101,ACC100101,DBS,12.94,SGD,2026-01-12,MONTHLY,2,2026-01-02,user101,80000101,ServiceFee
CUST0102,ACC100102,OCBC,115.01,SGD,2026-01-13,MONTHLY,2,2026-01-03,user102,80000102,Subscription
,ACC100103,DBS,,SGD,2026/01/01,MONTHLY,,2026-01-04,user103,80000103,ServiceFee
CUST0104,ACC100104,DBS,459.66,SGD,2026-01-15,MONTHLY,4,2026-01-05,user104,80000104,ServiceFee
CUST0105,ACC100105,UOB,280.53,SGD,2026-01-16,WEEKLY,4,2026-01-06,user105,80000105,ProductA
CUST0106,ACC100106,OCBC,154.01,SGD,2026-01-17,WEEKLY,2,2026-01-07,user106,80000106,ServiceFee
CUST0107,ACC100107,UOB,471.96,SGD,2026-01-18,MONTHLY,1,2026-01-08,user107,80000107,ServiceFee
CUST0108,ACC100108,OCBC,126.24,SGD,2026-01-19,WEEKLY,1,2026-01-09,user108,80000108,ServiceFee
CUST0109,ACC100109,OCBC,374.25,SGD,2026-01-20,WEEKLY,4,2026-01-10,user109,80000109,ServiceFee
CUST0110,ACC100110,OCBC,269.06,SGD,2026-01-21,WEEKLY,2,2026-01-01,user110,80000110,ServiceFee
CUST0111,ACC100111,UOB,263.26,SGD,2026-01-22,WEEKLY,4,2026-01-02,user111,80000111,ServiceFee
CUST0112,ACC100112,UOB,494.83,SGD,2026-01-23,MONTHLY,1,2026-01-03,user112,80000112,ProductA
CUST0113,ACC100113,UOB,452.15,SGD,2026-01-24,WEEKLY,4,2026-01-04,user113,80000113,ServiceFee
CUST0114,ACC100114,UOB,476.24,SGD,2026-01-25,WEEKLY,2,2026-01-05,user114,80000114,ProductA
CUST0115,ACC100115,OCBC,339.49,SGD,2026-01-26,MONTHLY,4,2026-01-06,user115,80000115,Subscription
CUST0116,ACC100116,DBS,168.45,SGD,2026-01-27,MONTHLY,1,2026-01-07,user116,80000116,ProductA
CUST0117,ACC100117,OCBC,206.39,SGD,2026-01-28,MONTHLY,4,2026-01-08,user117,80000117,ProductA
CUST0118,ACC100118,OCBC,26.81,SGD,2026-01-29,WEEKLY,1,2026-01-09,user118,80000118,ProductA
CUST0119,ACC100119,OCBC,408.39,SGD,2026-01-30,WEEKLY,4,2026-01-10,user119,80000119,ServiceFee
CUST0120,ACC100120,OCBC,214.34,SGD,2026-01-01,MONTHLY,4,2026-01-01,user120,80000120,ServiceFee
CUST0121,ACC100121,DBS,342.27,SGD,2026-01-02,WEEKLY,2,2026-01-02,user121,80000121,Subscription
CUST0122,ACC100122,UOB,378.87,SGD,2026-01-03,WEEKLY,2,2026-01-03,user122,80000122,ProductA
CUST0123,ACC100123,UOB,66.57,SGD,2026-01-04,MONTHLY,4,2026-01-04,user123,80000123,ServiceFee
CUST0124,ACC100124,DBS,253.09,SGD,2026-01-05,MONTHLY,2,2026-01-05,user124,80000124,ProductA
CUST0125,ACC100125,OCBC,441.56,SGD,2026-01-06,MONTHLY,2,2026-01-06,user125,80000125,ProductA
CUST0126,ACC100126,UOB,439.81,SGD,2026-01-07,WEEKLY,4,2026-01-07,user126,80000126,ProductA
CUST0127,ACC100127,DBS,210.76,SGD,2026-01-08,WEEKLY,4,2026-01-08,user127,80000127,ProductA
CUST0128,ACC100128,DBS,339.32,SGD,2026-01-09,MONTHLY,4,2026-01-09,user128,80000128,Subscription
CUST0129,ACC100129,UOB,332.55,SGD,2026-01-10,MONTHLY,4,2026-01-10,user129,80000129,ServiceFee
CUST0130,ACC100130,OCBC,119.61,SGD,2026-01-11,WEEKLY,4,2026-01-01,user130,80000130,Subscription
CUST0131,ACC100131,OCBC,327.02,SGD,2026-01-12,WEEKLY,1,2026-01-02,user131,80000131,ProductA
CUST0132,ACC100132,UOB,317.95,SGD,2026-01-13,MONTHLY,4,2026-01-03,user132,80000132,ServiceFee
CUST0133,ACC100133,DBS,494.31,SGD,2026-01-14,WEEKLY,4,2026-01-04,user133,80000133,Subscription
CUST0134,ACC100134,DBS,32.69,SGD,2026-01-15,MONTHLY,1,2026-01-05,user134,80000134,ServiceFee
CUST0135,ACC100135,UOB,383.78,SGD,2026-01-16,MONTHLY,2,2026-01-06,user135,80000135,Subscription
CUST0136,ACC100136,UOB,471.68,SGD,2026-01-17,MONTHLY,2,2026-01-07,user136,80000136,Subscription
CUST0137,ACC100137,UOB,434.79,SGD,2026-01-18,MONTHLY,4,2026-01-08,user137,80000137,ProductA
CUST0138,ACC100138,UOB,159.41,SGD,2026-01-19,MONTHLY,2,2026-01-09,user138,80000138,Subscription
CUST0139,ACC100139,OCBC,199.81,SGD,2026-01-20,MONTHLY,4,2026-01-10,user139,80000139,Subscription
CUST0140,ACC100140,OCBC,59.01,SGD,2026-01-21,MONTHLY,4,2026-01-01,user140,80000140,ProductA
CUST0141,ACC100141,UOB,46.67,SGD,2026-01-22,MONTHLY,4,2026-01-02,user141,80000141,ServiceFee
CUST0142,ACC100142,UOB,292.52,SGD,2026-01-23,MONTHLY,4,2026-01-03,user142,80000142,Subscription
CUST0143,ACC100143,UOB,472.52,SGD,2026-01-24,WEEKLY,2,2026-01-04,user143,80000143,ProductA
CUST0144,ACC100144,UOB,302.25,SGD,2026-01-25,MONTHLY,2,2026-01-05,user144,80000144,ServiceFee
CUST0145,ACC100145,UOB,301.1,SGD,2026-01-26,MONTHLY,2,2026-01-06,user145,80000145,ProductA
CUST0146,ACC100146,UOB,440.91,SGD,2026-01-27,WEEKLY,2,2026-01-07,user146,80000146,ServiceFee
CUST0147,ACC100147,DBS,342.52,SGD,2026-01-28,MONTHLY,4,2026-01-08,user147,80000147,Subscription
CUST0148,ACC100148,DBS,138.8,SGD,2026-01-29,MONTHLY,1,2026-01-09,user148,80000148,ServiceFee
CUST0149,ACC100149,OCBC,233.64,SGD,2026-01-30,MONTHLY,2,2026-01-10,user149,80000149,ProductA
,ACC100150,UOB,,SGD,2026/01/01,WEEKLY,,2026-01-01,user150,80000150,ServiceFee
CUST0151,ACC100151,UOB,151.01,SGD,2026-01-02,WEEKLY,2,2026-01-02,user151,80000151,Subscription
CUST0152,ACC100152,OCBC,331.35,SGD,2026-01-03,WEEKLY,2,2026-01-03,user152,80000152,ProductA
CUST0153,ACC100153,UOB,440.01,SGD,2026-01-04,WEEKLY,2,2026-01-04,user153,80000153,Subscription
CUST0154,ACC100154,UOB,184.22,SGD,2026-01-05,WEEKLY,2,2026-01-05,user154,80000154,ProductA
CUST0155,ACC100155,OCBC,172.21,SGD,2026-01-06,WEEKLY,1,2026-01-06,user155,80000155,ServiceFee
CUST0156,ACC100156,DBS,201.26,SGD,2026-01-07,MONTHLY,4,2026-01-07,user156,80000156,Subscription
CUST0157,ACC100157,OCBC,282.17,SGD,2026-01-08,MONTHLY,2,2026-01-08,user157,80000157,ServiceFee
CUST0158,ACC100158,DBS,322.58,SGD,2026-01-09,MONTHLY,2,2026-01-09,user158,80000158,ServiceFee
CUST0159,ACC100159,OCBC,228.71,SGD,2026-01-10,MONTHLY,1,2026-01-10,user159,80000159,ServiceFee
CUST0160,ACC100160,UOB,274.06,SGD,2026-01-11,WEEKLY,4,2026-01-01,user160,80000160,Subscription
CUST0161,ACC100161,OCBC,197.25,SGD,2026-01-12,WEEKLY,4,2026-01-02,user161,80000161,ServiceFee
CUST0162,ACC100162,DBS,393.85,SGD,2026-01-13,MONTHLY,1,2026-01-03,user162,80000162,Subscription
CUST0163,ACC100163,OCBC,199.07,SGD,2026-01-14,MONTHLY,1,2026-01-04,user163,80000163,Subscription
CUST0164,ACC100164,UOB,181.41,SGD,2026-01-15,MONTHLY,2,2026-01-05,user164,80000164,ProductA
CUST0165,ACC100165,DBS,52.18,SGD,2026-01-16,MONTHLY,2,2026-01-06,user165,80000165,ProductA
CUST0166,ACC100166,OCBC,115.26,SGD,2026-01-17,WEEKLY,1,2026-01-07,user166,80000166,ServiceFee
CUST0167,ACC100167,UOB,330.55,SGD,2026-01-18,MONTHLY,2,2026-01-08,user167,80000167,ServiceFee
CUST0168,ACC100168,DBS,193.59,SGD,2026-01-19,WEEKLY,4,2026-01-09,user168,80000168,ProductA
CUST0169,ACC100169,UOB,126.51,SGD,2026-01-20,MONTHLY,1,2026-01-10,user169,80000169,ProductA
CUST0170,ACC100170,UOB,83.24,SGD,2026-01-21,MONTHLY,2,2026-01-01,user170,80000170,Subscription
CUST0171,ACC100171,OCBC,408.56,SGD,2026-01-22,MONTHLY,4,2026-01-02,user171,80000171,ServiceFee
CUST0172,ACC100172,UOB,378.3,SGD,2026-01-23,MONTHLY,4,2026-01-03,user172,80000172,ProductA
CUST0173,ACC100173,UOB,49.54,SGD,2026-01-24,WEEKLY,1,2026-01-04,user173,80000173,Subscription
CUST0174,ACC100174,UOB,117.56,SGD,2026-01-25,WEEKLY,1,2026-01-05,user174,80000174,ServiceFee
CUST0175,ACC100175,UOB,286.19,SGD,2026-01-26,WEEKLY,2,2026-01-06,user175,80000175,Subscription
CUST0176,ACC100176,DBS,211.42,SGD,2026-01-27,WEEKLY,4,2026-01-07,user176,80000176,ServiceFee
CUST0177,ACC100177,DBS,153.32,SGD,2026-01-28,WEEKLY,4,2026-01-08,user177,80000177,ProductA
CUST0178,ACC100178,OCBC,276.61,SGD,2026-01-29,MONTHLY,2,2026-01-09,user178,80000178,ProductA
CUST0179,ACC100179,DBS,214.62,SGD,2026-01-30,WEEKLY,2,2026-01-10,user179,80000179,Subscription
,ACC100180,DBS,,SGD,2026/01/01,MONTHLY,,2026-01-01,user180,80000180,ProductA
CUST0181,ACC100181,DBS,306.13,SGD,2026-01-02,MONTHLY,1,2026-01-02,user181,80000181,Subscription
CUST0182,ACC100182,DBS,395.01,SGD,2026-01-03,MONTHLY,2,2026-01-03,user182,80000182,Subscription
CUST0183,ACC100183,UOB,290.91,SGD,2026-01-04,MONTHLY,4,2026-01-04,user183,80000183,ServiceFee
CUST0184,ACC100184,UOB,175.96,SGD,2026-01-05,WEEKLY,2,2026-01-05,user184,80000184,ProductA
CUST0185,ACC100185,OCBC,464.33,SGD,2026-01-06,MONTHLY,4,2026-01-06,user185,80000185,ProductA
CUST0186,ACC100186,UOB,390.06,SGD,2026-01-07,WEEKLY,1,2026-01-07,user186,80000186,ProductA
CUST0187,ACC100187,UOB,163.19,SGD,2026-01-08,WEEKLY,2,2026-01-08,user187,80000187,ProductA
CUST0188,ACC100188,UOB,36.4,SGD,2026-01-09,MONTHLY,1,2026-01-09,user188,80000188,Subscription
CUST0189,ACC100189,OCBC,10.39,SGD,2026-01-10,MONTHLY,4,2026-01-10,user189,80000189,ServiceFee
CUST0190,ACC100190,UOB,327.68,SGD,2026-01-11,MONTHLY,4,2026-01-01,user190,80000190,ServiceFee
CUST0191,ACC100191,OCBC,156.53,SGD,2026-01-12,WEEKLY,1,2026-01-02,user191,80000191,ServiceFee
CUST0192,ACC100192,UOB,289.63,SGD,2026-01-13,MONTHLY,1,2026-01-03,user192,80000192,ServiceFee
CUST0193,ACC100193,UOB,450.78,SGD,2026-01-14,WEEKLY,1,2026-01-04,user193,80000193,ProductA
CUST0194,ACC100194,DBS,356.94,SGD,2026-01-15,WEEKLY,2,2026-01-05,user194,80000194,Subscription
CUST0195,ACC100195,OCBC,277.02,SGD,2026-01-16,MONTHLY,1,2026-01-06,user195,80000195,Subscription
CUST0196,ACC100196,DBS,422.15,SGD,2026-01-17,WEEKLY,2,2026-01-07,user196,80000196,ProductA
CUST0197,ACC100197,OCBC,305.61,SGD,2026-01-18,MONTHLY,1,2026-01-08,user197,80000197,ServiceFee
CUST0198,ACC100198,UOB,98.41,SGD,2026-01-19,WEEKLY,2,2026-01-09,user198,80000198,Subscription
CUST0199,ACC100199,DBS,83.32,SGD,2026-01-20,WEEKLY,2,2026-01-10,user199,80000199,ProductA
